asn,count,bad_count,CCA
China Unicom Beijing Province Network,27,6,0.2222222222222222
XNNET LLC,27,2,0.07407407407407407
Iomart Cloud Services Limited,26,2,0.07692307692307693
netcup GmbH,25,3,0.12
Enzu Inc,25,2,0.08
FASTNET DATA INC,24,4,0.16666666666666666
Mada Al-Arab General Services Company,24,24,1.0
"IP Pathways, LLC",23,0,0.0
"Webglobe, s.r.o.",23,10,0.43478260869565216
"NTT DOCOMO BUSINESS,Inc.",23,12,0.5217391304347826
Sharktech,23,5,0.21739130434782608
MasterDC s.r.o.,23,7,0.30434782608695654
Serverel Inc.,22,17,0.7727272727272727
Hdtidc Limited,22,22,1.0
dogado GmbH,22,5,0.22727272727272727
DataWeb Global Group B.V.,22,18,0.8181818181818182
"HIVELOCITY, Inc.",22,9,0.4090909090909091
Enflow B.V.,22,2,0.09090909090909091
Optimizely AB,21,0,0.0
SECURED SERVERS LLC,21,12,0.5714285714285714
IBM Cloud,21,9,0.42857142857142855
ACE,21,3,0.14285714285714285
Rostelecom,21,2,0.09523809523809523
GMO GlobalSign Holdings K.K.,21,1,0.047619047619047616
Tcloudnet,21,4,0.19047619047619047
SK Broadband Co Ltd,20,4,0.2
EGIHosting,20,1,0.05
Huawei Cloud Service data center,20,0,0.0
Infomaniak Network SA,20,2,0.1
VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,20,10,0.5
AS48707 OPS PL sp. z o.o.,20,14,0.7
23M GmbH,20,6,0.3
Team Blue Carrier Limited,19,0,0.0
"Aryaka Networks, Inc.",19,19,1.0
Previder B.V.,18,1,0.05555555555555555
HLL LLC,18,2,0.1111111111111111
"CenturyLink Communications, LLC",18,12,0.6666666666666666
Internap Holding LLC,18,6,0.3333333333333333
Render,17,10,0.5882352941176471
JSC RTComm.RU,17,3,0.17647058823529413
PDR,17,10,0.5882352941176471
team.blue Denmark A/S,17,6,0.35294117647058826
Tucows.com Co.,17,5,0.29411764705882354
"Zhejiang Taobao Network Co.,Ltd",16,0,0.0
Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,16,0,0.0
NetLab Global,16,4,0.25
Green Floid LLC,16,14,0.875
Scalaxy B.V.,16,8,0.5
BIT BV,16,0,0.0
Flexential Colorado Corp.,16,0,0.0
Duocast B.V.,16,0,0.0
Internet-Pro LLC,16,2,0.125
UpCloud Ltd,16,4,0.25
home.pl sp. z o.o.,16,5,0.3125
HT,15,5,0.3333333333333333
"QuickPacket, LLC",15,5,0.3333333333333333
CTG Server Limited,15,9,0.6
M247 Europe SRL,15,7,0.4666666666666667
Amarutu Technology Ltd,15,12,0.8
"TierPoint, LLC",15,8,0.5333333333333333
Yandex.Cloud LLC,15,0,0.0
I-servers Ltd,15,14,0.9333333333333333
Hosting Ukraine LTD,15,3,0.2
Dreamscape Networks Limited,15,13,0.8666666666666667
Register S.p.A.,15,7,0.4666666666666667
SpaceWeb Ltd,15,1,0.06666666666666667
xneelo,14,6,0.42857142857142855
KDDI Web Communications Inc.,14,0,0.0
DEFT.COM,14,7,0.5
DataWagon LLC,14,14,1.0
Eonix Corporation,14,8,0.5714285714285714
Ans Academy Limited,14,1,0.07142857142857142
"NTT PC Communications, Inc.",13,0,0.0
SYNERGY WHOLESALE PTY LTD,13,3,0.23076923076923078
Loopia AB,13,3,0.23076923076923078
Clever Cloud SAS,13,4,0.3076923076923077
Server Plan S.r.l.,13,2,0.15384615384615385
EuroByte LLC,13,1,0.07692307692307693
METANET AG,13,1,0.07692307692307693
LLC VK,13,0,0.0
Aptum Technologies,13,2,0.15384615384615385
Zetta Hosting Solutions LLC.,13,12,0.9230769230769231
SuperHosting.BG Ltd.,13,5,0.38461538461538464
"Ntirety, Inc.",13,2,0.15384615384615385
Hostwinds LLC.,13,4,0.3076923076923077
UCLOUD INFORMATION TECHNOLOGY HK LIMITED,13,9,0.6923076923076923
"Facebook, Inc.",13,6,0.46153846153846156
Iomart Managed Services Limited,13,0,0.0
velia.net Internetdienste GmbH,13,8,0.6153846153846154
Atman Sp. z o.o.,12,6,0.5
Webhost LLC,12,0,0.0
VSHosting s.r.o.,12,2,0.16666666666666666
Noyan Abr Arvan Co. ( Private Joint Stock),12,2,0.16666666666666666
ICDSoft Ltd.,12,1,0.08333333333333333
eStruxture Data Centers Inc.,12,1,0.08333333333333333
Host4Geeks LLC,12,11,0.9166666666666666
National Informatics Centre,12,0,0.0
P.a.g.m. Ou,12,0,0.0
Alexhost Srl,12,7,0.5833333333333334
SURF B.V.,12,6,0.5
"WEDOS Internet, a.s.",12,2,0.16666666666666666
Claranet Limited,12,4,0.3333333333333333
LEASEWEB SINGAPORE PTE. LTD.,12,4,0.3333333333333333
Celeste SAS,11,1,0.09090909090909091
DLX A/S,11,0,0.0
CASABLANCA INT a.s.,11,4,0.36363636363636365
Keyweb AG,11,1,0.09090909090909091
VNPT Corp,11,4,0.36363636363636365
"Vercara, LLC",11,0,0.0
Turk Telekom,11,6,0.5454545454545454
F5 Networks SARL,11,0,0.0
Fornex Hosting S.L.,11,10,0.9090909090909091
MOJOHOST,11,2,0.18181818181818182
Glesys AB,11,4,0.36363636363636365
Hawk Host Inc.,11,4,0.36363636363636365
Jisc Services Limited,11,0,0.0
SMILESERV,11,1,0.09090909090909091
Prolocation B.V.,11,0,0.0
Equinix (EMEA) Acquisition Enterprises B.V.,11,1,0.09090909090909091
Locaweb Servicos de Internet SA,11,3,0.2727272727272727
"Comcast Cable Communications, LLC",11,5,0.45454545454545453
Stichting DIGI NL,11,2,0.18181818181818182
Hostkey B.v.,11,5,0.45454545454545453
DinaHosting S.L.,11,0,0.0
LLC Smart Ape,11,2,0.18181818181818182
Proton66 OOO,10,10,1.0
TrueFullstaq B.V.,10,0,0.0
China Education and Research Network Center,10,0,0.0
Dataspace P.s.a.,10,5,0.5
Leaseweb Deutschland GmbH,10,6,0.6
Colombia Movil,10,10,1.0
Deutsche Telekom AG,10,4,0.4
Dimension Network & Communication Limited,10,2,0.2
Nazwa.pl Sp.z.o.o.,10,7,0.7
GTHost,10,7,0.7
WorldStream B.V.,10,2,0.2
InterNetX GmbH,10,5,0.5
Liberally Network LLC,10,0,0.0
XRUI TECHNOLOGY LIMITED,10,1,0.1
Data Communication Business Group,10,1,0.1
Netsec Limited,10,10,1.0
Republican Unitary Telecommunication Enterprise Beltelecom,10,0,0.0
Citytelecom LLC,10,1,0.1
